# Kynda AMAZON — CANONICAL ordering list (exact Amazon listing titles + ASINs)
# Auto-merged from live Amazon 'Kynda Food List' + 'Kynda Packaging + Supplies List'
# Format: name | par | vendor | category | asin
FMP Brands [1000 Pack] Kraft Coffee Cup Sleeves Disposable for Hot Drinks, Durable Corrugated Cardboard Cup Sleeves for 12-24 oz Cups, Beverage Insulator and Hand Protection for Hot & Cold Drinks|3.0|Amazon|packaging|B08GJ3LQVM
BUNN Commercial Tea & Paper Coffee Filters, 20138.1000 White, 1.5 Gallon, 500 count|2.0|Amazon|packaging|B00NWTE8YA
REMTAP Coffee Bags with Valve(100pcs,12 oz) balck High Barrier Aluminumed Foil Flat Bottom Standing Coffee Beans Storage Bags,Reusable Heat Sealable Side Zipper Pouches for Home or Store||Amazon|packaging|B097XV6PTG
Karat 10-24 oz. Coffee Cup Sipper Dome Lid - Black (90mm) - 1,000 ct|2.0|Amazon|packaging|B07CB2B4K8
Volcanics White Liquid Chalk Markers, Blackboard & Glass, 12 Pack  -  Washable Chalk Pens for Windows, Mirrors, Wet Erase Window Markers, Easy Clean Ink for Menu Boards, Café Signs, Classroom||Amazon|packaging|B08R55YFM9
Milk-Bone Flavor Snacks Mini’s Dog Biscuits, Flavored Crunchy Dog Treats, 36 Oz. Canister  -  5 calories per treat, 15% protein, 3 flavors per canister (beef, chicken & bacon, naturally & artificially flavored)||Amazon|packaging|B0114BNXQ6
Cafiza Espresso Machine Detergent (1 x 10 lb Pail)|0.5|Amazon|packaging|B01F78KWJI
Amazon Basics Gentle & Mild Clear Liquid Hand Soap Refill, Triclosan-Free, Dermatologist-Tested, pH Balanced, 50 Fl Oz, 2-Pack (Previously Solimo)|2.0|Amazon|packaging|B09HHDGQKD
Reli. 40 to 45 Gallon Trash Bags Heavy Duty  -  250 Trash Bags, Twist Ties  -  Black, Serious Garbage Cleanup  -  Large Garbage Bags with Twist Ties, Made in USA  -  SuperValue||Amazon|packaging|B07H8QG78V
Avery® Printable Return Address Labels, Sure Feed® Technology, 2/3" x 1-3/4", Matte Clear, 600 Blank Mailing Labels (18695)|2.0|Amazon|packaging|B001HAZU16
Lysol Toilet Bowl Cleaner Clinging Gel, Power, 24 oz, 2 Pack  -  Disinfecting, Sanitizing, Deodorizing, Septic Safe, Bleach Free, For Toilet Rings, Limescale, & Hard Water, Bathroom Cleaner||Amazon|packaging|B00371VM0Q
Karat 12 oz Paper Coffee Cup [1,000 ct] White Disposable Cup for Hot/ Cold Drinks and Beverages  -  3.54" Diameter (C-K512W)|2.0|Amazon|packaging|B00O9SPO4G
Solo Foodservice 316W 16 Oz. White Paper Hot Cup noHandle Singlepoly (1000-Pack)||Amazon|packaging|B0040ZOUQG
Clean Building All-Purpose Cleaner Concentrate, 1 gal Bottle, 2/Carton||Amazon|packaging|B07NHRKSP3
General Supply 9JUMBO Jumbo Roll Bath Tissue, 2-Ply, 9", White (Case of 12)  -  Made In The USA; Durable Two-Ply Construction Designed to Provide Enhanced Comfort, Strength||Amazon|packaging|B01B7FJX4A
Volcanics White Window Markers for Glass Washable Window Crayons Window Paint Markers Chalk Markers for Glass Window Chalk Markers for Glass Glass Markers Pens, 12 Pack||Amazon|packaging|B0C6XJT6P4
Positive Art Liquid Chalk Markers - 30 Colors, 6mm Reversible Tips - Washable Colored Chalk Pens for Art & Decor - Window Markers for Glass & Metal, Bold Color Dry Erase Marker Pens for Mirros & More||Amazon|packaging|B076PMTZ47
iMARK Premium Refill Ink for Self-Inking Stamps, Daters and Stamp Pads (4 oz, Black)|1.0|Amazon|packaging|B0B81GKXZQ
Hydrion QT-40 Quaternary SANITIZER Solution Test Tape for Testing 0-500 ppm Ranges - QUAT Tape & Color Chart - Tests Quaternary Ammonium Sanitizer Solutions in Restaurants, Bars, Daycare - 15 Ft Roll||Amazon|packaging|B008BMCLNI
Like-New Amazon Fire TV Stick 4K Max streaming device, with AI-powered Fire TV Search, supports Wi-Fi 6E, free & live TV without cable or satellite, find shows faster with Alexa+||Amazon|packaging|B0BXLZHDNC
GoveeLife Smart Humidifiers for Bedroom, 3L Top Fill Cool Mist Humidifier  -  24dB Quiet Runtime, Humidity Control, Easy to Clean, 25H Lasting, RGB Night Light for Baby, Plants, Works with Alexa||Amazon|packaging|B0BT93MJ4G
TP-Link Deco XE75 AXE5400 Tri-Band WiFi 6E Mesh System - Covers up to 2900 Sq.Ft, Replaces WiFi Router and Extender, AI-Driven Mesh, New 6GHz Band, 1-Pack||Amazon|packaging|B0B3YZ5DQB
Levoit Smart Cool Mist Top Fill Humidifiers for Bedroom with Sensor, 3L  -  Auto Humidity Setting, APP & Voice Control, Essential Oil Diffuser, Ultra Quiet Operation, Super Easy Top Fill, 25H, White||Amazon|packaging|B09KT9ZK7Q
HP LaserJet Pro MFP 3101sdw Wireless Black and White All-in-One Laser Printer, Office Printer, Duplex, Best-for-Small Teams (9D2X4F)||Amazon|packaging|B0CZSFG7VX
DREO Smart Humidifiers for Bedroom Baby, 30H & 28dB for Nursery  -  Top Fill Cool Mist Humidifiers, 1500+RGB Lights & Sleep Trainer, Air Humidifier for Plants, Touch/APP/Voice Control, HM409S||Amazon|packaging|B0FKTLDY1P
Business Credit Account||Amazon|packaging|B07GZY6QJK
